"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Std of Start Time","Std of End Time","Std of Duration","Std of Peak Time","Std of Price","Std of Distance","Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"10%","2 Hours","Within","6 Weeks","3/8",46,91,37,36,33,0.3074,0.327,0.0879,0.1077,1.5697,0.6567,0.5383,73.04,39.78
"20%","2 Hours","Within","6 Weeks","3/8",51,92,40,39,37,0.3239,0.345,0.0959,0.1143,1.6664,0.8969,0.5892,71.59,43.36
"30%","2 Hours","Within","6 Weeks","3/8",52,92,42,40,38,0.3326,0.3548,0.101,0.1182,1.7229,1.0457,0.6182,70.83,44.97
"40%","2 Hours","Within","6 Weeks","3/8",53,92,43,40,39,0.3383,0.3609,0.1046,0.1208,1.7591,1.1521,0.6365,70.37,45.9
"50%","2 Hours","Within","6 Weeks","3/8",54,92,44,41,40,0.3423,0.3652,0.1074,0.1227,1.7838,1.232,0.6497,70.06,46.48
"10%","2.5 Hours","Within","6 Weeks","3/8",47,91,37,36,33,0.3282,0.3472,0.0883,0.1106,1.6428,0.661,0.5401,72.99,40.07
"20%","2.5 Hours","Within","6 Weeks","3/8",51,92,41,39,37,0.3472,0.3675,0.0965,0.1175,1.7445,0.9022,0.5914,71.54,43.72
"30%","2.5 Hours","Within","6 Weeks","3/8",53,92,43,40,38,0.3573,0.3786,0.1016,0.1216,1.8037,1.0517,0.6206,70.78,45.38
"40%","2.5 Hours","Within","6 Weeks","3/8",54,92,44,41,39,0.364,0.3857,0.1053,0.1243,1.8407,1.1596,0.6391,70.31,46.34
"20%","1 Hour","Across","6 Weeks","2/8",64,99,56,52,50,0.3616,0.387,0.1096,0.1058,1.4512,1.2349,0.6607,71.48,44.7
"50%","2.5 Hours","Across","6 Weeks","2/8",74,99,67,61,60,0.5496,0.575,0.1336,0.1391,2.0175,1.8041,0.7668,69.09,52.57
"50%","2.5 Hours","Within","6 Weeks","3/8",54,93,44,41,40,0.3686,0.3907,0.1081,0.1263,1.8662,1.2416,0.6525,70,46.94
"10%","1 Hour","Across","8 Weeks","3/8",49,91,39,38,35,0.2813,0.3039,0.0962,0.1034,1.4651,0.8241,0.6229,70.91,41.88
"20%","1 Hour","Across","8 Weeks","3/8",54,92,44,42,39,0.2927,0.3179,0.1051,0.1085,1.5337,1.0889,0.6797,69.41,45.61
"30%","1 Hour","Across","8 Weeks","3/8",56,93,46,43,41,0.2982,0.3252,0.1108,0.1115,1.5715,1.2483,0.7138,68.6,47.16
"40%","1 Hour","Across","8 Weeks","3/8",57,93,47,44,42,0.302,0.3301,0.1149,0.1135,1.5957,1.3608,0.7343,68.09,48.03
"50%","1 Hour","Across","8 Weeks","3/8",58,93,48,44,43,0.3049,0.3341,0.1185,0.1153,1.6178,1.461,0.7518,67.69,48.58
"10%","1.5 Hours","Across","8 Weeks","3/8",51,92,41,40,37,0.3526,0.3726,0.0984,0.1161,1.7468,0.8476,0.6346,70.68,43.77
"20%","1.5 Hours","Across","8 Weeks","3/8",57,93,46,44,42,0.3703,0.3926,0.1079,0.1223,1.8248,1.1193,0.6921,69.14,47.89
"30%","1.5 Hours","Across","8 Weeks","3/8",59,93,48,45,44,0.3797,0.4033,0.1139,0.1259,1.8653,1.283,0.7277,68.28,49.61
"40%","1.5 Hours","Across","8 Weeks","3/8",60,94,50,46,45,0.3859,0.4104,0.1183,0.1281,1.8872,1.4038,0.7497,67.76,50.61
"10%","1 Hour","Within","6 Weeks","2/8",56,97,47,45,42,0.2864,0.3071,0.0894,0.0982,1.3233,0.775,0.534,74.35,43.6
"50%","1.5 Hours","Across","8 Weeks","3/8",61,94,51,47,46,0.3905,0.4157,0.1219,0.1301,1.9081,1.5027,0.7679,67.35,51.26
"10%","2 Hours","Across","8 Weeks","3/8",52,92,42,41,38,0.4047,0.4232,0.0996,0.1245,1.9441,0.8608,0.6404,70.55,44.68
"20%","2 Hours","Across","8 Weeks","3/8",58,93,47,45,43,0.4266,0.4471,0.1095,0.1312,2.022,1.136,0.6987,69.01,49
"30%","2 Hours","Across","8 Weeks","3/8",60,94,50,47,45,0.4387,0.4602,0.1157,0.1351,2.0606,1.3024,0.7345,68.15,50.83
"40%","2 Hours","Across","8 Weeks","3/8",62,94,51,48,46,0.4464,0.4687,0.1203,0.1377,2.0842,1.4273,0.7574,67.6,51.9
"50%","2 Hours","Across","8 Weeks","3/8",62,94,52,48,47,0.4519,0.4747,0.1238,0.1397,2.1025,1.5251,0.7754,67.19,52.6
"10%","2.5 Hours","Across","8 Weeks","3/8",53,92,43,42,38,0.4394,0.4569,0.1002,0.1291,2.0602,0.8685,0.6421,70.49,45.19
"20%","2.5 Hours","Across","8 Weeks","3/8",59,93,48,46,43,0.4646,0.484,0.1103,0.1362,2.1424,1.1489,0.7013,68.91,49.63
"30%","2.5 Hours","Across","8 Weeks","3/8",61,94,50,47,45,0.4786,0.4989,0.1166,0.1404,2.1813,1.3164,0.7379,68.04,51.52
